mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
calm,0.0844,0.828,0.412,0.894,0.126,-14.672,0.128,110.054,0.19,4
calm,0.899,0.668,0.369,0.893,0.1,-8.879,0.073,142.683,0.545,3
calm,0.172,0.778,0.657,0.616,0.126,-5.02,0.037,82.988,0.555,4
calm,0.32,0.615,0.371,0.593,0.0626,-15.032,0.0356,127.979,0.217,4
calm,0.677,0.613,0.116,0.853,0.119,-12.181,0.0854,166.017,0.599,4
calm,0.858,0.46,0.427,0.894,0.11,-7.792,0.0506,79.947,0.134,4
calm,0.201,0.77,0.38,0.246,0.153,-9.615,0.101,81.072,0.52,4
calm,0.318,0.773,0.667,0.714,0.138,-7.606,0.119,87.005,0.7,4
calm,0.925,0.0,0.413,0.784,0.12,-12.842,0.0,0.0,0.0,0
calm,0.888,0.672,0.452,0.913,0.108,-9.667,0.0339,89.008,0.237,4
calm,0.725,0.552,0.387,0.776,0.189,-11.211,0.0808,78.799,0.596,4
calm,0.0928,0.936,0.359,0.936,0.0773,-14.671,0.331,139.986,0.821,4
calm,0.301,0.776,0.492,0.786,0.0739,-11.597,0.142,84.975,0.827,4
calm,0.717,0.684,0.328,0.82,0.105,-9.086,0.15,81.201,0.245,4
calm,0.784,0.801,0.167,0.696,0.188,-15.363,0.04,87.013,0.377,4
calm,0.299,0.706,0.777,0.0,0.298,-4.591,0.0567,126.008,0.638,4
calm,0.567,0.498,0.523,0.905,0.169,-14.956,0.26,76.591,0.556,4
calm,0.903,0.668,0.335,0.858,0.127,-9.932,0.123,80.188,0.181,4
calm,0.57,0.755,0.559,0.895,0.108,-9.4,0.098,91.909,0.202,4
calm,0.894,0.751,0.425,0.725,0.0976,-8.947,0.0466,75.128,0.778,4
calm,0.456,0.633,0.162,0.286,0.105,-13.259,0.348,83.71,0.499,4
calm,0.764,0.705,0.421,0.541,0.354,-19.874,0.545,91.988,0.692,4
calm,0.589,0.671,0.622,0.849,0.0999,-8.898,0.0401,181.953,0.522,4
calm,0.878,0.668,0.321,0.94,0.122,-11.569,0.109,90.025,0.0913,4
calm,0.584,0.715,0.257,0.809,0.641,-10.257,0.0822,81.988,0.597,4
calm,0.0395,0.727,0.34,0.831,0.128,-14.045,0.0651,146.341,0.6,4
calm,0.71,0.722,0.324,0.884,0.151,-10.933,0.045,73.512,0.755,4
calm,0.169,0.682,0.374,0.913,0.123,-14.828,0.0603,80.029,0.739,4
calm,0.0154,0.536,0.928,0.00134,0.2,-6.492,0.0589,136.258,0.389,4
calm,0.753,0.713,0.639,0.0,0.0878,-5.529,0.0313,125.959,0.737,4
calm,0.849,0.652,0.513,0.873,0.099,-8.326,0.0483,87.991,0.457,4
calm,0.89,0.816,0.34,0.894,0.266,-9.118,0.224,79.979,0.15,4
calm,0.3,0.639,0.403,0.771,0.0887,-9.79,0.22,179.919,0.389,4
calm,0.713,0.61,0.156,0.054,0.0616,-21.603,0.122,82.808,0.442,4
calm,0.186,0.835,0.453,0.229,0.139,-6.316,0.0543,92.999,0.601,4
calm,0.709,0.425,0.434,0.689,0.152,-12.337,0.0499,158.756,0.389,4
calm,0.887,0.752,0.303,0.846,0.108,-15.19,0.172,172.012,0.692,4
calm,0.877,0.774,0.261,0.925,0.108,-14.221,0.059,144.014,0.361,4
calm,0.228,0.842,0.29,0.904,0.114,-12.099,0.121,79.985,0.405,4
calm,0.518,0.785,0.205,0.902,0.107,-10.39,0.167,167.998,0.616,4
calm,0.569,0.587,0.567,0.105,0.315,-13.836,0.068,83.151,0.475,4
calm,0.128,0.73,0.781,0.948,0.0794,-6.532,0.0875,92.037,0.694,4
calm,0.777,0.74,0.486,0.352,0.126,-10.606,0.354,137.825,0.664,4
calm,0.379,0.611,0.284,0.819,0.309,-12.948,0.0463,153.957,0.292,4
calm,0.676,0.768,0.338,0.915,0.17,-13.569,0.106,83.016,0.774,4
calm,0.972,0.651,0.233,0.887,0.0709,-15.805,0.458,84.951,0.575,4
calm,0.919,0.689,0.274,0.937,0.135,-15.924,0.0871,79.979,0.795,3
calm,0.0584,0.676,0.366,0.794,0.117,-10.606,0.0299,84.994,0.525,4
calm,0.887,0.86,0.0852,0.964,0.126,-18.983,0.139,81.086,0.907,4
calm,0.312,0.78,0.462,0.919,0.0759,-10.487,0.0566,150.007,0.748,4
calm,0.233,0.62,0.757,0.521,0.125,-8.699,0.0398,136.048,0.499,4
calm,0.743,0.763,0.233,0.86,0.0991,-15.471,0.132,169.944,0.296,4
calm,0.205,0.771,0.333,0.685,0.123,-10.656,0.133,86.032,0.266,4
calm,0.0946,0.746,0.25,0.849,0.0649,-12.403,0.0492,75.115,0.375,4
calm,0.637,0.82,0.139,0.776,0.101,-10.941,0.362,74.993,0.658,4
calm,0.38,0.528,0.289,0.76,0.144,-13.909,0.422,81.059,0.403,1
calm,0.642,0.688,0.239,0.277,0.0899,-13.883,0.0779,84.126,0.207,4
calm,0.795,0.628,0.438,0.945,0.297,-9.836,0.134,82.014,0.195,4
calm,0.599,0.773,0.211,0.238,0.085,-12.457,0.0992,86.1,0.273,4
calm,0.537,0.722,0.344,0.952,0.134,-12.63,0.0654,140.047,0.404,4
calm,0.985,0.648,0.177,0.000353,0.134,-13.474,0.0311,99.101,0.236,3
calm,0.874,0.773,0.223,0.927,0.111,-14.852,0.0798,91.988,0.713,4
calm,0.521,0.843,0.123,0.0518,0.105,-10.587,0.152,82.014,0.499,4
calm,0.712,0.718,0.297,0.891,0.119,-10.008,0.0419,70.0,0.263,4
calm,0.886,0.673,0.424,0.362,0.112,-14.124,0.0506,75.035,0.711,4
calm,0.206,0.634,0.597,0.91,0.146,-13.927,0.441,139.369,0.794,3
calm,0.928,0.441,0.397,0.924,0.229,-14.316,0.262,83.568,0.489,4
